selling_price,distance_km,transmission,mileage_km,engine,seats,car_age,distance_Low,distance_Medium,distance_High,distance_Very High,distance_Extremely High,fuel_CNG,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_Dealer,seller_Individual,seller_Trustmark Dealer,owner_First Owner,owner_Fourth & Above Owner,owner_Second Owner,owner_Third Owner,car_brand_Chevrolet,car_brand_Ford,car_brand_Honda,car_brand_Hyundai,car_brand_Mahindra,car_brand_Maruti,car_brand_Renault,car_brand_Tata,car_brand_Toyota,car_brand_Volkswagen
450000,145500,1,23.4,1248.0,5,10,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
158000,140000,1,17.7,1497.0,5,18,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
225000,127000,1,23.0,1396.0,5,14,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
130000,120000,1,16.1,1298.0,5,17,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
440000,45000,1,20.14,1197.0,5,7,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
96000,175000,1,17.3,1061.0,5,17,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
45000,5000,1,16.1,796.0,4,23,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
350000,90000,1,23.59,1364.0,5,13,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
200000,169000,1,20.0,1399.0,5,11,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
500000,68000,1,19.01,1461.0,5,10,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
92000,100000,1,17.3,993.0,5,19,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
280000,140000,1,19.3,1248.0,5,15,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
180000,90000,1,18.9,1061.0,5,15,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
